Title,LongDescription,answer
how add reference system.web.optimization mvc-3-converted to-4 app,i'm trying use new bundling feature project i recently converted from mvc 3 mvc 4 beta requires line code global.asax bundletable.bundles.registertemplatebundles which requires using system.web.optimization top.when i do i get red squiggly lines say you missing assembly reference when i try add reference click net tab dialog sort from z i do see system.web.optimization.how do i add ref my project thanks,With the final released version of ASP.Net MVC 4 the approach is as follows:Install Microsoft.AspNet.Web.Optimization via nuget (as it is not installed by the framework)install-package Microsoft.AspNet.Web.OptimizationCreate the bundle in Global.asax Application_Start:var scripts = new ScriptBundle("~/MyBundle");scripts.IncludeDirectory("~/Scripts/MyDirectory" "*.js");BundleTable.Bundles.Add(scripts);Add the "System.Web.Optimization" namespace to the "Views" web.config: &lt;pages pageBaseType="System.Web.Mvc.WebViewPage"&gt;&lt;namespaces&gt;&lt;add namespace="System.Web.Optimization" /&gt;&lt;/namespaces&gt;&lt;/pages&gt;In your view.cshtml add an include to the bundle created in the last step:@Scripts.Render("~/MyBundle")In debug mode all script files in your directory will render individually; in release mode they will be bundled and minified.
styles.render mvc4,net mvc4 project how does styles.render works i mean styles.render content css which file calling i dont have file folder called css inside my content folder,Watch out for case sensitivity. If you have a file   /Content/bootstrap.cssand you redirect in your Bundle.config to   .Include("~/Content/Bootstrap.css")it will not load the css.
how add web api existing asp.net mvc 4 web application project,i wish add asp.net web api asp.net mvc 4 web application project developed visual studio 2012 which steps must i perform add functioning web api project i'm aware i need controller deriving from apicontroller about all i know.let me know i need provide more details,UPDATE 11/22/2013 - this is the latest WebApi package:Install-Package Microsoft.AspNet.WebApiOriginal answer (this is an older WebApi package)Install-Package AspNetWebApiMore details.
mvc4 stylebundle resolving images,my question similar asp.net mvc 4 minification amp background imagesexcept i want stick mvc own bundling i can i'm having brain crash trying figure out what correct pattern specifying style bundles standalone css image sets jquery ui work.i have typical mvc site structure content css which contains my base css stylescss within css folder i also have subfolders jquery ui which contains its css file plus images folder image paths jquery ui css relative folder i don't want mess them.as i understand when i specify stylebundle i need specify virtual path which does also match real content path because assuming i'm ignoring routes content iis would try resolve path physical file so i'm specifying bundles.add new stylebundle content styles jquery ui include content css jquery ui css rendered using styles.render content styles jquery ui i can see request going out http localhost mysite content styles jquery ui v nl_6hpftzoqrts9nwrtjq0vqfynhmjy5eopxsk8cxmg1this returning correct minified css response browser sends request relatively linked image http localhost mysite content styles images ui bg highlight soft_100_eeeeee_1x100.pngwhich 404.i understand last part my url jquery ui extensionless url handler my bundle so i can see why relative request image simply styles images so my question what correct way handling situation,Grinn / ThePirat solution works well. I did not like that it new'd the Include method on bundle and that it created temporary files in the content directory.  (they ended up getting checked in deployed then the service wouldn't start!)So to follow the design of Bundling I elected to perform essentially the same code but in an IBundleTransform implementation::class StyleRelativePathTransform: IBundleTransform{public StyleRelativePathTransform(){}public void Process(BundleContext context BundleResponse response){response.Content = String.Empty;Regex pattern = new Regex(@"url\s*\(\s*([""']?)([^:)]+)\1\s*\)" RegexOptions.IgnoreCase);// open each of the filesforeach (FileInfo cssFileInfo in response.Files){if (cssFileInfo.Exists){// apply the RegEx to the file (to change relative paths)string contents = File.ReadAllText(cssFileInfo.FullName);MatchCollection matches = pattern.Matches(contents);// Ignore the file if no match if (matches.Count &gt; 0){string cssFilePath = cssFileInfo.DirectoryName;string cssVirtualPath = context.HttpContext.RelativeFromAbsolutePath(cssFilePath);foreach (Match match in matches){// this is a path that is relative to the CSS filestring relativeToCSS = match.Groups[2].Value;// combine the relative path to the cssAbsolutestring absoluteToUrl = Path.GetFullPath(Path.Combine(cssFilePath relativeToCSS));// make this server relativestring serverRelativeUrl = context.HttpContext.RelativeFromAbsolutePath(absoluteToUrl);string quote = match.Groups[1].Value;string replace = String.Format("url({0}{1}{0})" quote serverRelativeUrl);contents = contents.Replace(match.Groups[0].Value replace);}}// copy the result into the response.response.Content = String.Format("{0}\r\n{1}" response.Content contents);}}}}And then wrapped this up in a Bundle Implemetation:public class StyleImagePathBundle : Bundle{public StyleImagePathBundle(string virtualPath): base(virtualPath){base.Transforms.Add(new StyleRelativePathTransform());base.Transforms.Add(new CssMinify());}public StyleImagePathBundle(string virtualPath string cdnPath): base(virtualPath cdnPath){base.Transforms.Add(new StyleRelativePathTransform());base.Transforms.Add(new CssMinify());}}Sample Usage:static void RegisterBundles(BundleCollection bundles){...bundles.Add(new StyleImagePathBundle("~/bundles/Bootstrap").Include("~/Content/css/bootstrap.css""~/Content/css/bootstrap-responsive.css""~/Content/css/jquery.fancybox.css""~/Content/css/style.css""~/Content/css/error.css""~/Content/validation.css"));Here is my extension method for RelativeFromAbsolutePath:   public static string RelativeFromAbsolutePath(this HttpContextBase context string path){var request = context.Request;var applicationPath = request.PhysicalApplicationPath;var virtualDir = request.ApplicationPath;virtualDir = virtualDir == "/" ? virtualDir : (virtualDir + "/");return path.Replace(applicationPath virtualDir).Replace(@"\" "/");}
how pass json post data web api method object,asp.net mvc4 web api application defines post method save customer.customer passed json format post request body.customer parameter post method contains null values properties.how fix so posted data passed customer object possible content type application x www form urlencoded should used since i dont know how change javascript method which posts form.controller public class customerscontroller apicontroller public object post frombody customer customer return request.createresponse httpstatuscode.oknew customer customer public class customer public string company name get set public string contact name get set request post http localhost 52216/api customers http/1.1accept application json text javascript q 0.01x-requested xmlhttprequestcontent type application x www form urlencoded charset utf-8 contact name sdfsd company name ssssd,Working with POST in webapi can be tricky!Would like to add to the already correct answer..Will focus specifically on POST as dealing with GET is trivial. I don't think many would be searching around for resolving an issue with GET with webapis. Anyways..If your question is - In MVC Web Api how to- - Use custom action method names other than the generic HTTP verbs? - Perform multiple posts? - Post multiple simple types? - Post complex types via jQuery?Then the following solutions may help:First to use Custom Action Methods in Web API add a web api route as:public static void Register(HttpConfiguration config){config.Routes.MapHttpRoute(name: "ActionApi"routeTemplate: "api/{controller}/{action}");}And then you may create action methods like:[HttpPost]public string TestMethod([FromBody]string value){return "Hello from http post web api controller: " + value;}Now fire the following jQuery from your browser console$.ajax({type: 'POST'url: 'http://localhost:33649/api/TestApi/TestMethod'data: {'':'hello'}contentType: 'application/x-www-form-urlencoded'dataType: 'json'success: function(data){ console.log(data) }});Second to perform multiple posts It is simple create multiple action methods and decorate with the [HttpPost] attrib. Use the [ActionName("MyAction")] to assign custom names etc. Will come to jQuery in the fourth point belowThird First of all posting multiple SIMPLE types in a single action is not possible.Moreover there is a special format to post even a single simple type (apart from passing the parameter in the query string or REST style). This was the point that had me banging my head with Rest Clients (like Fiddler and Chrome's Advanced REST client extension) and hunting around the web for almost 5 hours when eventually the following URL proved to be of help. Will quote the relevant content for the link might turn dead!Content-Type: application/x-www-form-urlencodedin the request header and add a = before the JSON statement:={"Name":"Turbo Tina""Email":"na@Turbo.Tina"}PS: Noticed the peculiar syntax?http://forums.asp.net/t/1883467.aspx?The+received+value+is+null+when+I+try+to+Post+to+my+Web+ApiAnyways let us get over that story. Moving on:Fourth posting complex types via jQuery ofcourse $.ajax() is going to promptly come in the role:Let us say the action method accepts a Person object which has an id and a name. So from javascript:var person = { PersonId:1 Name:"James" }$.ajax({type: 'POST'url: 'http://mydomain/api/TestApi/TestMethod'data: JSON.stringify(person)contentType: 'application/json; charset=utf-8'dataType: 'json'success: function(data){ console.log(data) }});And the action will look like:[HttpPost]public string TestMethod(Person person){return "Hello from http post web api controller: " + person.Name;}All of the above worked for me!! Cheers!
validateantiforgerytoken purpose explanation example,could you explain validateantiforgerytoken purpose show me example about validateantiforgerytoken mvc 4 i could find any examples which explain attribute,The basic purpose of ValidateAntiForgeryToken attribute is to prevent cross-site request forgery attacks.A cross-site request forgery is an attack in which a harmful script element malicious command or code is sent from the browser of a trusted user. For more information on this please visithttp://www.asp.net/mvc/overview/security/xsrfcsrf-prevention-in-aspnet-mvc-and-web-pages.It is simple to use you need to decorate method with ValidateAntiForgeryToken attribute as below:[HttpPost]  [ValidateAntiForgeryToken]  public ActionResult CreateProduct(Product product)  {  if (ModelState.IsValid){//your logic   }  return View(ModelName);}It is derived from System.Web.Mvc namespace.And in your view add this code to add the token so it is used to validate the form upon submission.@Html.AntiForgeryToken()
bundler including min files,i have weird issue mvc4 bundler including files extension min.jsin my bundleconfig class i declarepublic static void registerbundles bundlecollection bundles bundles.add new scriptbundle scripts jquery include scripts jquery-1.8.0.js include scripts jquery.tmpl.min.js my view i declare&lt html&gt lt head&gt scripts.render scripts jquery lt head&gt lt body&gt test&lt body&gt lt html&gt when renders only renders&lt html&gt lt head&gt lt script src scripts jquery-1.8.0.js gt lt script&gt lt head&gt lt body&gt test&lt body&gt lt html&gt i rename jquery.tmpl.min.js jquery.tmpl.js update path bundle accordingly both scripts rendered correctly.is some config setting causing ignore min.js files,Microsoft implies the following behavior (and I prefer to follow it in my projects):short versionYou have both debug and minified versions of a script in your project under the same folder:script.jsscript.min.jsYou add only script.js to a bundle in your code.As a result you will automatically have the script.js included in DEBUG mode and script.min.js in RELEASE mode.long versionYou can have also .debug.js version. In that case the file is included in the following priority in DEBUG:script.debug.jsscript.jsin RELEASE:script.min.jsscript.jsnoteAnd by the way the only reason to have a .min versions of your scripts in MVC4 is the case when the minified version can not be processed automatically. For example the following code can not be obfuscated automatically:if (DEBUG) console.log("Debug message");In all the other cases you can go with just a debug version of your script.
how accept file post,i'm using asp.net mvc 4 webapi beta build rest service i need able accept posted images files from client applications possible using webapi below how action i am currently using does anyone know example how should work httppost public string profileimagepost httppostedfile profileimage string extensions jpg jpeg gif bmp png extensions.any x gt x.equals path.getextension profileimage.filename.tolower stringcomparison.ordinalignorecase throw new httpresponseexception invalid file type httpstatuscode.badrequest other code goes herereturn path image.png,I'm surprised that a lot of you seem to want to save files on the server. Solution to keep everything in memory is as follows:[HttpPost Route("api/upload")]public async Task&lt;IHttpActionResult&gt; Upload(){if (!Request.Content.IsMimeMultipartContent())throw new HttpResponseException(HttpStatusCode.UnsupportedMediaType); var provider = new MultipartMemoryStreamProvider();await Request.Content.ReadAsMultipartAsync(provider);foreach (var file in provider.Contents){var filename = file.Headers.ContentDisposition.FileName.Trim('\"');var buffer = await file.ReadAsByteArrayAsync();//Do whatever you want with filename and its binary data.}return Ok();}
connection string named 39 myentities 39 could found application config file,i am using entity framework asp.net mvc 4 build applicationmy solution split two projects class library includes my data model edmx file few custom interfacesthe container mvc project references class library abovemy problem when i attempt use myentites dbcontext i get following error connection string named myentities could found application config file.i guess problem has something do fact connection string lies within app.config class library rather than mvc project.does anyone have any suggestions,You are right this happens because the class library (where the .edmx file) is not your startup / main project.You'll need to copy the connection string to the main project config file.Incase your startup / main project does not have a config file (like it was in my Console Application case) just add one (Startup project - Add New Item -> Application Configuration File).More relevant information can be found here:MetadataException: Unable to load the specified metadata resource
how make custom error pages work asp.net mvc 4,i want custom error page shown 500 404 403 here what i have done enabled custom errors web.config follows lt customerrors mode defaultredirect views shared error.cshtml gt lt error statuscode 403 redirect views shared unauthorizedaccess.cshtml gt lt error statuscode 404 redirect views shared filenotfound.cshtml gt lt customerrors&gt registered handleerrorattribute global action filter filterconfig class follows public static void registerglobalfilters globalfiltercollection filters filters.add new customhandleerrorattribute filters.add new authorizeattribute created custom error page each above messages default one 500 already available out box.declared each custom error page view model page system.web.mvc.handleerrorinfofor 500 shows custom error page others doesn't something i am missing does look like all displaying custom errors i read through code onexception method handleerrorattribute class handling only 500.what do i have do handle other errors,I've done pablo solution and I always had the error (MVC4)  The view 'Error' or its master was not found or no view engine supports the searched location.To get rid of this remove the line  filters.Add(new HandleErrorAttribute());in FilterConfig.cs
