LongDescription,answer
i'm trying use new bundling feature project i recently converted from mvc 3 mvc 4 beta requires line code global.asax bundletable.bundles.registertemplatebundles which requires using system.web.optimization top.when i do i get red squiggly lines say you missing assembly reference when i try add reference click net tab dialog sort from z i do see system.web.optimization.how do i add ref my project thanks,set in Global.asax application_start (in RELEASE mode etc.) :BundleTable.EnableOptimizations = **true**;to enable minification and change to false in DEBUG mode to render all script and style files individually.
net mvc4 project how does styles.render works i mean styles.render content css which file calling i dont have file folder called css inside my content folder,I did all things necessary to add bundling to an MVC 3 web (I'm new to the existing solution).  Styles.Render didn't work for me.  I finally discovered I was simply missing a colon.  In a master page: &lt;%: Styles.Render("~/Content/Css") %&gt;  I'm still confused about why (on the same page) &lt;% Html.RenderPartial("LogOnUserControl"); %&gt; works without the colon.
i wish add asp.net web api asp.net mvc 4 web application project developed visual studio 2012 which steps must i perform add functioning web api project i'm aware i need controller deriving from apicontroller about all i know.let me know i need provide more details,I had same problem the solution was so easy Right click on solotioninstall Microsoft.ASP.NET.WebApi from "Manage Nuget Package for Sulotion" boom that's it ;)
my question similar asp.net mvc 4 minification amp background imagesexcept i want stick mvc own bundling i can i'm having brain crash trying figure out what correct pattern specifying style bundles standalone css image sets jquery ui work.i have typical mvc site structure content css which contains my base css stylescss within css folder i also have subfolders jquery ui which contains its css file plus images folder image paths jquery ui css relative folder i don't want mess them.as i understand when i specify stylebundle i need specify virtual path which does also match real content path because assuming i'm ignoring routes content iis would try resolve path physical file so i'm specifying bundles.add new stylebundle content styles jquery ui include content css jquery ui css rendered using styles.render content styles jquery ui i can see request going out http localhost mysite content styles jquery ui v nl_6hpftzoqrts9nwrtjq0vqfynhmjy5eopxsk8cxmg1this returning correct minified css response browser sends request relatively linked image http localhost mysite content styles images ui bg highlight soft_100_eeeeee_1x100.pngwhich 404.i understand last part my url jquery ui extensionless url handler my bundle so i can see why relative request image simply styles images so my question what correct way handling situation,CssRewriteUrlTransform fixed my problem. If your code still not loading images after using CssRewriteUrlTransform thenchange your css filename's from:.Include("~/Content/jquery/jquery-ui-1.10.3.custom.css" new CssRewriteUrlTransform())To:.Include("~/Content/jquery/jquery-ui.css" new CssRewriteUrlTransform())Someway .(dots) are not recognizing in url.
asp.net mvc4 web api application defines post method save customer.customer passed json format post request body.customer parameter post method contains null values properties.how fix so posted data passed customer object possible content type application x www form urlencoded should used since i dont know how change javascript method which posts form.controller public class customerscontroller apicontroller public object post frombody customer customer return request.createresponse httpstatuscode.oknew customer customer public class customer public string company name get set public string contact name get set request post http localhost 52216/api customers http/1.1accept application json text javascript q 0.01x-requested xmlhttprequestcontent type application x www form urlencoded charset utf-8 contact name sdfsd company name ssssd,1)In your client side you can send you http.post request in string like belowvar IndexInfo = JSON.stringify(this.scope.IndexTree);this.$http.post('../../../api/EvaluationProcess/InsertEvaluationProcessInputType' "'" + IndexInfo + "'" ).then((response: any) =&gt; {}2)Then in your web api controller you can deserialize it public ApiResponce InsertEvaluationProcessInputType([FromBody]string IndexInfo){var des = (ApiReceivedListOfObjects&lt;TempDistributedIndex&gt;)Newtonsoft.Json.JsonConvert.DeserializeObject(DecryptedProcessInfo typeof(ApiReceivedListOfObjects&lt;TempDistributedIndex&gt;));}3)Your ApiReceivedListOfObjects class should be like belowpublic class ApiReceivedListOfObjects&lt;T&gt;{public List&lt;T&gt; element { get; set; }}4)make sure that your serialized string (IndexInfo here) becomes like below structure before JsonConvert.DeserializeObject command in step 2var resp = @"{""element"": [{""A"": ""A Jones""""B"": ""500015763""}{""A"": ""B Smith""""B"": ""504986213""}{""A"": ""C Brown""""B"": ""509034361""}]}";
could you explain validateantiforgerytoken purpose show me example about validateantiforgerytoken mvc 4 i could find any examples which explain attribute,Microsoft provides us built-in functionality which we use in our application for security purposes so no one can hack our site or invade some critical information.Use of ValidateAntiForgeryTokenLet’s try with a simple example to understand this concept. I do not want to make it too complicated that’s why I am going to use a template of an MVC application already available in Visual Studio. We will do this step by step. Let’s start.Step 1 - Create two MVC applications with default internet template and give those names as CrossSite_RequestForgery and Attack_Application respectively.Now open CrossSite_RequestForgery application's Web Config and change the connection string with the one given below and then save.`&lt;connectionStrings&gt; &lt;add name="DefaultConnection" connectionString="Data Source=local\SQLEXPRESS;Initial Catalog=CSRF; Integrated Security=true;" providerName="System.Data.SqlClient" /&gt;  &lt;/connectionStrings&gt;`Now click on Tools >> NuGet Package Manager then Package Manager ConsoleNow run the below mentioned three commands in Package Manager Console to create the database.Enable-Migrations add-migration first update-database Important Notes - I have created database with code first approach because I want to make this example in the way developers work. You can create database manually also. It's your choice.Now open Account Controller. Here you will see a register method whose type is post. Above this method there should be an attribute available as [ValidateAntiForgeryToken]. Comment this attribute. Now right click on register and click go to View. There again you will find an html helper as @Html.AntiForgeryToken() . Comment this one also. Run the application and click on register button. The URL will be open as:http://localhost:52269/Account/RegisterNotes- I know now the question being raised in all readers’ minds is why these two helpers need to be commented as everyone knows these are used to validate request. Then I just want to let you all know that this is just because I want to show the difference after and before applying these helpers.Now open the second application which is  Attack_Application. Then open Register method of Account Controller. Just change the POST method with the simple one shown below.Registration Form @Html.LabelFor(m => m.UserName) @Html.TextBoxFor(m => m.UserName)@Html.LabelFor(m => m.Password) @Html.PasswordFor(m => m.Password)@Html.LabelFor(m => m.ConfirmPassword) @Html.PasswordFor(m => m.ConfirmPassword) 7.Now suppose you are a hacker and you know the URL from where you can register user in CrossSite_RequestForgery application. Now you created a Forgery site as Attacker_Application and just put the same URL in post method.8.Run this application now and fill the register fields and click on register. You will see you are registered in CrossSite_RequestForgery application. If you check the database of CrossSite_RequestForgery application then you will see and entry you have entered.Important - Now open CrossSite_RequestForgery application and comment out the token in Account Controller and register the View. Try to register again with the same process. Then an error will occur as below.Server Error in '/' Application.The required anti-forgery cookie "__RequestVerificationToken" is not present.This is what the concept says. What we add in View i.e. @Html.AntiForgeryToken() generates __RequestVerificationToken on load time and [ValidateAntiForgeryToken] available on Controller method. Match this token on post time. If token is the same then it means this is a valid request.
i have weird issue mvc4 bundler including files extension min.jsin my bundleconfig class i declarepublic static void registerbundles bundlecollection bundles bundles.add new scriptbundle scripts jquery include scripts jquery-1.8.0.js include scripts jquery.tmpl.min.js my view i declare&lt html&gt lt head&gt scripts.render scripts jquery lt head&gt lt body&gt test&lt body&gt lt html&gt when renders only renders&lt html&gt lt head&gt lt script src scripts jquery-1.8.0.js gt lt script&gt lt head&gt lt body&gt test&lt body&gt lt html&gt i rename jquery.tmpl.min.js jquery.tmpl.js update path bundle accordingly both scripts rendered correctly.is some config setting causing ignore min.js files,Bundler have a lot of benefits check this page BUT:The Microsoft MVC4 Platform Considers that you have at least both minified version &amp; unminified version for each Script or Style Bundle(another files like Debug and vsdoc are available too). So We have trouble in situations that there is only one of these files.You can change debug state in web.config file permanently to handle output:&lt;compilation debug="false" targetFramework="4.0" /&gt;See the output changes! File filtering changed. To meet the purpose we must change ignore case filtration that will change application logic! 
i'm using asp.net mvc 4 webapi beta build rest service i need able accept posted images files from client applications possible using webapi below how action i am currently using does anyone know example how should work httppost public string profileimagepost httppostedfile profileimage string extensions jpg jpeg gif bmp png extensions.any x gt x.equals path.getextension profileimage.filename.tolower stringcomparison.ordinalignorecase throw new httpresponseexception invalid file type httpstatuscode.badrequest other code goes herereturn path image.png,API Controller :[HttpPost]public HttpResponseMessage Post(){   var httpRequest = System.Web.HttpContext.Current.Request;if (System.Web.HttpContext.Current.Request.Files.Count &lt; 1){//TODO}else{try{ foreach (string file in httpRequest.Files){ var postedFile = httpRequest.Files[file];BinaryReader binReader = new BinaryReader(postedFile.InputStream);byte[] byteArray = binReader.ReadBytes(postedFile.ContentLength);}}catch (System.Exception e){   //TODO}} return Request.CreateResponse(HttpStatusCode.Created);}
i am using entity framework asp.net mvc 4 build applicationmy solution split two projects class library includes my data model edmx file few custom interfacesthe container mvc project references class library abovemy problem when i attempt use myentites dbcontext i get following error connection string named myentities could found application config file.i guess problem has something do fact connection string lies within app.config class library rather than mvc project.does anyone have any suggestions,Add Connectoinstrnig in web.config file&lt;ConnectionStiring&gt; &lt;add name="dbName" Connectionstring=" include provider name too"  &gt;&lt;/ConnectionStiring&gt;
i want custom error page shown 500 404 403 here what i have done enabled custom errors web.config follows lt customerrors mode defaultredirect views shared error.cshtml gt lt error statuscode 403 redirect views shared unauthorizedaccess.cshtml gt lt error statuscode 404 redirect views shared filenotfound.cshtml gt lt customerrors&gt registered handleerrorattribute global action filter filterconfig class follows public static void registerglobalfilters globalfiltercollection filters filters.add new customhandleerrorattribute filters.add new authorizeattribute created custom error page each above messages default one 500 already available out box.declared each custom error page view model page system.web.mvc.handleerrorinfofor 500 shows custom error page others doesn't something i am missing does look like all displaying custom errors i read through code onexception method handleerrorattribute class handling only 500.what do i have do handle other errors,In web.config add this under system.webserver tag as below&lt;system.webServer&gt;&lt;httpErrors errorMode="Custom" existingResponse="Replace"&gt;  &lt;remove statusCode="404"/&gt;  &lt;remove statusCode="500"/&gt;  &lt;error statusCode="404" responseMode="ExecuteURL" path="/Error/NotFound"/&gt;  &lt;error statusCode="500" responseMode="ExecuteURL"path="/Error/ErrorPage"/&gt;&lt;/httpErrors&gt;and add a controller aspublic class ErrorController : Controller{//// GET: /Error/[GET("/Error/NotFound")]public ActionResult NotFound(){Response.StatusCode = 404;return View();}[GET("/Error/ErrorPage")]public ActionResult ErrorPage(){Response.StatusCode = 500;return View();}}and add their respected views this will work definitely I guess for all.This solution I found it from: Neptune Century
what references.js file used new asp.net mvc 4 project,MSDN documentation: JavaScript IntelliSenseIn brief _references.js stores the list of JS files paths for which you want the Visual Studio to gather and build the intelisense (aka "code complete"). The VS project adds there some common JS libraries like jQuery to build the intellisense for it. You can add a reference to your custom JS file in form like this: /// &lt;reference path="MyScriptFile.js" /&gt;
i'm getting error my project able find reference owin startup class i've even installed all owin reference packages through nuget still getting same issue i'm using visual studio 2012 mvc4 following errors occurred while attempting load app.no assembly found containing owinstartupattribute assembly found containing startup assemblyname startup class disable owin startup discovery add appsetting owin automaticappstartup value false your webconfig specify owin startup assembly class method add appsetting owin appstartup fully qualified startup class configuration method name your webconfig,In my case I logged into ftp server. Took backup of current files on ftp server. Delete all files manually from ftp server. Clean solution redeployed the code. It worked.
how does scripts.render bundles jquery differ from just referencing script from html like this&lt script src bundles jquery.js type text javascript gt lt script&gt any performance gains,You can also use:@Scripts.RenderFormat("&lt;script type=\"text/javascript\" src=\"{0}\"&gt;&lt;/script&gt;" "~/bundles/mybundle")To specify the format of your output in a scenario where you need to use Charset Type etc.
i am trying use web api httpclient do post endpoint requires login form http cookie identifies account only something ifdef'ed out release version how do i add cookie httprequestmessage,After spending hours on this issue none of the answers above helped me so I found a really useful tool.Firstly I used Telerik's Fiddler 4 to study my Web Requests in details Secondly I came across this useful plugin for Fiddler: https://github.com/sunilpottumuttu/FiddlerGenerateHttpClientCodeIt will just generate the C# code for you. An example was:var uriBuilder = new UriBuilder("test.php" "test");var httpClient = new HttpClient();var httpRequestMessage = new HttpRequestMessage(HttpMethod.Post uriBuilder.ToString());httpRequestMessage.Headers.Add("Host" "test.com");httpRequestMessage.Headers.Add("Connection" "keep-alive"); //   httpRequestMessage.Headers.Add("Content-Length" "138");httpRequestMessage.Headers.Add("Pragma" "no-cache");httpRequestMessage.Headers.Add("Cache-Control" "no-cache");httpRequestMessage.Headers.Add("Origin" "test.com");httpRequestMessage.Headers.Add("Upgrade-Insecure-Requests" "1");//httpRequestMessage.Headers.Add("Content-Type" "application/x-www-form-urlencoded");httpRequestMessage.Headers.Add("User-Agent" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/69.0.3497.100 Safari/537.36");httpRequestMessage.Headers.Add("Accept" "text/htmlapplication/xhtml+xmlapplication/xml;q=0.9image/webpimage/apng*/*;q=0.8");httpRequestMessage.Headers.Add("Referer" "http://www.translationdirectory.com/");httpRequestMessage.Headers.Add("Accept-Encoding" "gzip deflate");httpRequestMessage.Headers.Add("Accept-Language" "en-GBen-US;q=0.9en;q=0.8");httpRequestMessage.Headers.Add("Cookie" "__utmc=266643403; __utmz=266643403.1537352460.3.3.utmccn=(referral)|utmcsr=google.co.uk|utmcct=/|utmcmd=referral; __utma=266643403.817561753.1532012719.1537357162.1537361568.5; __utmb=266643403; __atuvc=0%7C34%2C0%7C35%2C0%7C36%2C0%7C37%2C48%7C38; __atuvs=5ba2469fbb02458f002");var httpResponseMessage = httpClient.SendAsync(httpRequestMessage).Result;var httpContent = httpResponseMessage.Content;string result = httpResponseMessage.Content.ReadAsStringAsync().Result;Note that I had to comment out two lines as this plugin is not totally perfect yet but it did the job nevertheless.DISCLAIMER: I am not associated or endorsed by either Telerik or the plugin's author in anyway. 
i'm using datatype.date attribute my model editorfor my view working fine internet&nbsp explorer&nbsp 8 internet&nbsp explorer&nbsp 9 google chrome showing date picker instead displaying value just displays month day year faded gray text.why won't google chrome display value model datatype datatype.date public nullable&lt system.datetime gt estpurchasedate get set view lt td class fieldlabel gt est pur date&lt td&gt lt td class field gt html.editorfor m gt m.estpurchasedate lt td&gt,If you need to have control over the format of the date (in other words not just the yyyy-mm-dd format is acceptable) another solution could be adding a helper property that is of type string and add a date validator to that property and bind to this property on UI.[Display(Name = "Due date")][Required][AllowHtml][DateValidation]public string DueDateString { get; set; }public DateTime? DueDate {get{return string.IsNullOrEmpty(DueDateString) ? (DateTime?)null : DateTime.Parse(DueDateString);}set{DueDateString = value == null ? null : value.Value.ToString("d");}}And here is a date validator:[AttributeUsage(AttributeTargets.Property AllowMultiple = true Inherited = true)]public class DateValidationAttribute : ValidationAttribute{public DateValidationAttribute(){}protected override ValidationResult IsValid(object value ValidationContext validationContext){if (value != null){DateTime date;if (value is string){if (!DateTime.TryParse((string)value out date)){return new ValidationResult(validationContext.DisplayName + " must be a valid date.");}}elsedate = (DateTime)value;if (date &lt; new DateTime(1900 1 1) || date &gt; new DateTime(3000 12 31)){return new ValidationResult(validationContext.DisplayName + " must be a valid date.");}}return null;}}
i have some concerns using async actions asp.net mvc when does improve performance my apps when does good use async action everywhere asp.net mvc regarding awaitable methods shall i use async await keywords when i want query database via ef nhibernate other orm how many times can i use await keywords query database asynchronously one single action method,  Is it good to use async action everywhere in ASP.NET MVC?It's good to do so wherever you can use an async method especially when you have performance issues at the worker process level which happens for massive data and calculation operations. Otherwise no need because unit testing will need casting.  Regarding awaitable methods: shall I use async/await keywords when I  want to query a database (via EF/NHibernate/other ORM)?Yes it's better to use async for any DB operation as could as possible to avoid performance issues at the level of worker processes. Note that EF has created many async alternatives for most operations such as:.ToListAsync().FirstOrDefaultAsync().SaveChangesAsync().FindAsync()  How many times can I use await keywords to query the database  asynchronously in one single action method?The sky is the limit
i have debug true both my web.config s i just don't want my bundles minified nothing i do seems disable i've tried enableoptimisations false here my code javascriptbundles.add new scriptbundle bundles mainjs include scripts regular lib mvc jquery.validate.unobtrusive.js include scripts regular lib mvc jquery.validate include scripts regular lib bootstrap.js includedirectory scripts regular modules js true includedirectory scripts regular pages js true includedirectory scripts regular misc js true cssbundles.add new stylebundle bundles maincss include content css regular lib bootstrap.css includedirectory content css regular modules css true includedirectory content css regular pages css true,This may become useful to someone in the future as the new framework when setup through VS gets a default web.config web.Debug.config and web.Release.config. In the web.release.config you will find this line:&lt;compilation xdt:Transform="RemoveAttributes(debug)" /&gt;this was seeming to override any inline changes I made. I commented this line out and we were gravy (in terms of seeing non-minified code in a "release" build)
my win 7 development machine order use sql express instance instead localdb installed default i unchecked use iis express my mvc 4 project properties page web tab i got following error asp.net 4.5 has been registered web server you need manually configure your web server asp.net 4.5 order your site run correctly.i verified asp.net activated within iis features.please what could done resolve,tl;dr; Clicking OK is the workaround everything will work fine after that.I also received this error message.  Configuring Web http://localhost:xxxxx/ for ASP.NET 4.5 failed. You must manually configure this site for   ASP.NET 4.5 in order for the site to run correctly. ASP.NET 4.0 has not been registered on the Web server.   You need to manually configure your Web server for ASP.NET 4.0 in order for your site to run correctly.Environment: Windows 10 IIS8 VS 2012 Web.After finding this page along with several seemingly invasive solutions I read through the hotfix option at https://support.microsoft.com/en-us/help/3002339/unexpected-dialog-box-appears-when-you-open-projects-in-visual-studio as suggested here.Please avoid doing anything too drastic and note the section of that page marked "Workaround" as shown below:  WorkaroundTo work around this issue click OK when the dialog box appears after you either create a new project or open an existing Web Site Project or Windows Azure project. After you do this the project works as expected.In other words click OK on the dialog box one time and the message is gone forever. The project will work just fine. 
i have test class below i have posted sample test from test classnamespace adminportal.tests.controller test.customer testclass public class businessunitcontrollertests private ibusinessunitrepository mockbusinessunitrepository private businessunitcontroller controller testinitialize public void testinitialize mockbusinessunitrepository mockrepository.generatemock lt ibusinessunitrepository&gt controller new businessunitcontroller mockbusinessunitrepository testcleanup public void testcleanup mockbusinessunitrepository null controller.dispose controller null region index action tests testmethod public void index action calls getallbusinessunit mockbusinessunitrepository.stub x gt x.getallbusinessunit controller.index mockbusinessunitrepository.assertwascalled x gt x.getallbusinessunit when i run project i get following screeni checked references test project has reference main project.any idea why test running saying were inconclusive edit 1 i saw post here changed my test setting default processor architecture x64 still doesn't work,For me one test created this error and it turned out I had unintentionally skipped the test.  On the left of the screen where you click to put a break point you may notice that your test is set to be skipped (there's a microsoft icon to indicate this).  I enabled the test and the error went away.
after significant refactoring my mvc 4 application razor shows error while debugging views name model does exist current context.this offending line code model icollection&lt datasourcebyactive&gt i know usage model correct.why happening how can i fix,In my case I removed web.config file from Views folder by accident. I added it back  and it was OK.
i've upgraded vs.net 2013 now every time i start debug asp.net mvc4 app iis some how vwd js artery created script interfering my requirejs setup crashes jquery reference does anyone know how can i get rid script vwd js arterywindow.vwdtempjquery window.jquery window window.jquery window null window.vwdtempjson window.json jquery v1.8.2 jquery.com jquery.org license restore original jquery references.window.jquery window window.vwdtempjquery window.vwdtempjquery null restore original json.if window.json window.vwdtempjson window.json window.vwdtempjson le has been fixed visual studio 2013 rtm,I found that it was still running until I actually added a value for it in the Web.config appSettings to turn it off.&lt;add key="vs:EnableBrowserLink" value="false" /&gt;
i'm working asp.net mvc 4 webapi am having lot fun running my local computer iis express i've configured iis express serve remote machines too so other my company using my computer our webserver after deciding less than optimal solution we decided put webapi remote server after installing net 45 when i use fiddler sent post controller my local machine returns correct response yet when i change domain webserver running iis7 same post returns cryptic message error has occurred message anyone have any idea what could going,My swagger XML file was not deployed into \bin:GlobalConfiguration.Configuration  .EnableSwagger(c =&gt;  {c.SingleApiVersion("v1" "SwaggerDemoApi");c.IncludeXmlComments(string.Format(@"{0}\bin\SwaggerDemoApi.XML"  System.AppDomain.CurrentDomain.BaseDirectory));c.DescribeAllEnumsAsStrings();  })http://wmpratt.com/swagger-and-asp-net-web-api-part-1/It had to be set in the Release Configuration as well as in the Debug Configuration.
mvc 4 we have bundles while defining bundles we can use wildcards like all files folder.in example below what does version mean public static void registerbundles bundlecollection bundles bundles.add new scriptbundle bundles jquery include scripts jquery version js,~/Scripts/jquery-{version}.js is included in it. Here bundling system is smart enough to reference the highest version of jquery file when we specified {version} selector in the path. Also this bundling system is smart enough to pick the minified version of the file if available at the defined path.
i am runing app app harbor written mvc4.a bundle css files doesnt work my local computer debug mode i see code app i see files app works expected lt link href content css home basic jquery slider.css rel stylesheet gt lt link href content css home home.css rel stylesheet gt when i upload app appharbor i see bundle code app doesnt work lt link href content css home v zhvoipunuvcozhjybcqwpmlozayor4te6k-pm29whqi1 rel stylesheet gt when i browse link href i get 403 forbidden access denied.how troubleshoot,I found out the file bootstrap.css wasn't in the content folder so I looked for it in the packages and pasted there.. it worked!
i am working creating new set services asp.mvc mvc 4 using web api so far great i have created service gotten work now i am trying consume using jquery i can get back json string using fiddler seems ok because service exists separate site trying call jquery errors allowed so clearly case where i need use jsonp.i know web api new i'm hoping someone out can help me.how do i make call web api method using jsonp,We can solve CORS(Cross-origin resource sharing)issue using two ways1)Using Jsonp2)Enabling the Cors1)Using Jsonp-  to use the Jsonp we need to install WebApiContrib.Formatting.Jsonp nuget packageand need to add JsonpFormmater in WebApiConfig.cs refer screenshotsJquery code2)Enabling the Cors - to enable the cors we need to add Microsoft.AspNet.WebApi.Cors nuget package and need to enable cors in WebApiConfig.cs refer screenshotFor more reference you can refer my sample repo on GitHub using the following link.https://github.com/mahesh353/Ninject.WebAPi/tree/develop
i have link like lt href member memberhome profile id gt lt span&gt profile&lt span&gt lt a&gt when i click call partial page switch string viewbag.details case profile html.partial profile break partial page profile contains html.action action controller model.paramter example html.action memberprofile member new id 1 id always changingmy doubt how can i pass id model.parameter part my controllers public actionresult memberhome string id viewbag.details id return view public actionresult memberprofile int id 0 memberdata md new member getmemberprofile id return partialview profilepage md,Here is an extension method that will convert an object to a ViewDataDictionary.public static ViewDataDictionary ToViewDataDictionary(this object values){var dictionary = new ViewDataDictionary();foreach (PropertyDescriptor property in TypeDescriptor.GetProperties(values)){dictionary.Add(property.Name property.GetValue(values));}return dictionary;}You can then use it in your view like so:@Html.Partial("_MyPartial" new{Property1 = "Value1"Property2 = "Value2"}.ToViewDataDictionary())Which is much nicer than the new ViewDataDictionary { { "Property1" "Value1" }  { "Property2" "Value2" }} syntax.Then in your partial view you can use ViewBag to access the properties from a dynamic object rather than indexed properties e.g.&lt;p&gt;@ViewBag.Property1&lt;/p&gt;&lt;p&gt;@ViewBag.Property2&lt;/p&gt;
i have small mvc app i use practice reasons now i am encountering error every time i try debug could load file assembly system.net.http.formatting one its dependencies system cannot find path specified.i ve googled cannot find solution i'm using net 4.5.it can't dll file because i'm using net 45,What I did to solve this problem isGo to NuGet package manager.Select Updates (from the left panel)Update WebApi componentsAfter that the project ran without errors.
